,name,department,university,avg_rating,num_reviews,take_again_pct,difficulty,rmp_profile_url,rmp_professor_id,error
512,Michelle  Cameron,Anthropology,University of Toronto,5.0,1,100,1.0,https://www.ratemyprofessors.com/professor/2951589,2951589,
513,Philip Sapirstein,Art History,University of Toronto,3.5,2,50,4.0,https://www.ratemyprofessors.com/professor/2900299,2900299,
514,Ken McNeilly,Education,University of Toronto,5.0,3,100,2.3,https://www.ratemyprofessors.com/professor/2947674,2947674,
515,Owen  Meunier,Languages,University of Toronto,5.0,1,100,3.0,https://www.ratemyprofessors.com/professor/2956052,2956052,
516,Trevor Cook,English,University of Toronto,4.7,3,100,2.3,https://www.ratemyprofessors.com/professor/1810084,1810084,
517,Jordan Peterson,Social Science,University of Toronto,3.8,9,63,3.9,https://www.ratemyprofessors.com/professor/2677753,2677753,
518,Yukiko Kobayashi Lui,Law,University of Toronto,3.0,1,0,3.0,https://www.ratemyprofessors.com/professor/2946685,2946685,
519,Dianne Hurdle,Languages,University of Toronto,1.0,2,0,3.0,https://www.ratemyprofessors.com/professor/2947280,2947280,
520,Murari Singh,Mathematics,University of Toronto,1.2,23,0,4.4,https://www.ratemyprofessors.com/professor/2725143,2725143,
521,Noor Attar,Biology,University of Toronto,3.0,1,0,5.0,https://www.ratemyprofessors.com/professor/2942334,2942334,
522,Erich Vogt,Environment,University of Toronto,2.5,17,40,3.3,https://www.ratemyprofessors.com/professor/1902956,1902956,
523,Nayana Reiter,Accounting,University of Toronto,3.8,5,80,2.4,https://www.ratemyprofessors.com/professor/2391832,2391832,
524,Alvin Sukmadji,Engineering,University of Toronto,3.0,2,50,4.0,https://www.ratemyprofessors.com/professor/2828475,2828475,
525,Parnia Vafaeikia,Religion,University of Toronto,5.0,3,100,3.0,https://www.ratemyprofessors.com/professor/2916170,2916170,
526,Mary Saudelli,Education,University of Toronto,5.0,2,100,3.0,https://www.ratemyprofessors.com/professor/2921919,2921919,
527,Eric Shoemaker,Philosophy,University of Toronto,5.0,1,100,2.0,https://www.ratemyprofessors.com/professor/2925144,2925144,
528,Ayca  Koseoglu,Architecture,University of Toronto,4.0,1,100,3.0,https://www.ratemyprofessors.com/professor/2865266,2865266,
529,Paul Bloom,Psychology,University of Toronto,3.5,4,50,3.3,https://www.ratemyprofessors.com/professor/2913365,2913365,
530,David Nieborg,"Arts, Culture & Media",University of Toronto,4.8,15,100,2.5,https://www.ratemyprofessors.com/professor/2205197,2205197,
531,Barnabas Emenogu,Education,University of Toronto,1.0,1,0,4.0,https://www.ratemyprofessors.com/professor/2920170,2920170,
532,Katharina Logan,Languages,University of Toronto,5.0,1,100,1.0,https://www.ratemyprofessors.com/professor/2920019,2920019,
533,Alan Bruder,Law,University of Toronto,5.0,1,100,4.0,https://www.ratemyprofessors.com/professor/1749030,1749030,
534,Mohammad Amin,Management,University of Toronto,5.0,3,100,1.7,https://www.ratemyprofessors.com/professor/2917013,2917013,
535,Neda Todorovic,Languages,University of Toronto,2.3,6,34,2.7,https://www.ratemyprofessors.com/professor/2877607,2877607,
536,Neekoo Collett,Political Science,University of Toronto,3.5,2,50,3.5,https://www.ratemyprofessors.com/professor/2888227,2888227,
537,Joseph Shaw,Finance,University of Toronto,2.8,4,25,3.5,https://www.ratemyprofessors.com/professor/2674191,2674191,
538,Remi Daviet,Economics,University of Toronto,3.3,3,67,3.7,https://www.ratemyprofessors.com/professor/2350746,2350746,
539,Matthew Da Mota,Humanities,University of Toronto,5.0,2,100,3.0,https://www.ratemyprofessors.com/professor/2661780,2661780,
540,Jillian Sunderland,Sociology,University of Toronto,5.0,1,100,3.0,https://www.ratemyprofessors.com/professor/2908867,2908867,
541,Shane Lynn,History,University of Toronto,4.0,1,100,4.0,https://www.ratemyprofessors.com/professor/2908477,2908477,
